production_budget,worldwide_gross,title_year,aspect_ratio,duration.1,cast_total_facebook_likes,budget,imdb_score
135000000.0,212912137.0,2003.0,2.35,138.0,1205.0,150000000.0,7.4
135000000.0,286896578.0,2013.0,2.35,96.0,17416.0,135000000.0,6.5
135000000.0,237177349.0,2016.0,2.35,112.0,8306.0,135000000.0,6.3
135000000.0,157956466.0,2011.0,2.35,100.0,62644.0,135000000.0,5.9
132000000.0,606836535.0,2005.0,1.85,116.0,12758.0,132000000.0,6.5
132000000.0,367650911.0,2014.0,1.85,92.0,19963.0,132000000.0,6.7
130000000.0,864868047.0,2013.0,2.35,146.0,49355.0,130000000.0,7.6
130000000.0,796688549.0,2004.0,2.35,142.0,33284.0,130000000.0,7.8
130000000.0,442161562.0,2007.0,2.35,115.0,17369.0,110000000.0,8.1
130000000.0,631910531.0,2008.0,2.35,92.0,12754.0,130000000.0,7.6
130000000.0,518602163.0,2015.0,1.85,117.0,5730.0,130000000.0,7.4
130000000.0,554987477.0,2011.0,2.35,90.0,5046.0,130000000.0,6.7
130000000.0,321887208.0,2010.0,2.35,95.0,46120.0,130000000.0,7.3
130000000.0,273271982.0,2003.0,2.35,147.0,12954.0,130000000.0,6.6
130000000.0,493738435.0,2014.0,2.35,101.0,1031.0,103000000.0,6.4
130000000.0,290650494.0,2010.0,2.35,101.0,12406.0,110000000.0,6.4
130000000.0,251499665.0,2013.0,2.35,100.0,14168.0,130000000.0,4.9
130000000.0,215080810.0,2008.0,2.35,165.0,921.0,130000000.0,6.6
130000000.0,79072464.0,2013.0,2.35,96.0,31549.0,130000000.0,5.6
127500000.0,356148063.0,2000.0,1.85,82.0,2945.0,127500000.0,6.5
127000000.0,356546621.0,2014.0,1.85,98.0,53587.0,127000000.0,6.2
125000000.0,766652288.0,2014.0,2.35,123.0,81385.0,125000000.0,6.7
125000000.0,974755371.0,2001.0,2.35,159.0,13191.0,125000000.0,7.5
125000000.0,634954103.0,2003.0,2.35,143.0,48184.0,140000000.0,8.1
125000000.0,767820459.0,2006.0,2.35,174.0,16008.0,125000000.0,6.6
125000000.0,629969804.0,2011.0,2.35,132.0,55345.0,125000000.0,7.3
125000000.0,535663443.0,2011.0,2.35,129.0,22403.0,125000000.0,7.5
125000000.0,556319450.0,2004.0,2.35,124.0,20553.0,125000000.0,6.4
125000000.0,399005706.0,2012.0,2.35,124.0,24098.0,130000000.0,7.0
125000000.0,280355920.0,2012.0,2.35,135.0,12175.0,125000000.0,6.7
125000000.0,238317814.0,1997.0,1.85,125.0,2699.0,125000000.0,3.7
125000000.0,61698899.0,1999.0,2.35,102.0,1815.0,85000000.0,6.6
